dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,48,"tensor(39.4222, device='cuda:0', grad_fn=<AddBackward0>)",0.1749,0.1117,0.5244
cifar10,128,0,0.0001,49,"tensor(39.3834, device='cuda:0', grad_fn=<AddBackward0>)",0.17514,0.1119,0.5252
cifar10,128,0,0.0001,50,"tensor(39.3718, device='cuda:0', grad_fn=<AddBackward0>)",0.17528,0.112,0.5243
cifar10,128,0,0.0001,51,"tensor(39.3680, device='cuda:0', grad_fn=<AddBackward0>)",0.17546,0.1116,0.524
cifar10,128,0,0.0001,52,"tensor(39.3461, device='cuda:0', grad_fn=<AddBackward0>)",0.17546,0.1115,0.5235
cifar10,128,0,0.0001,53,"tensor(39.3142, device='cuda:0', grad_fn=<AddBackward0>)",0.17554,0.1118,0.5236
cifar10,128,0,0.0001,54,"tensor(39.3006, device='cuda:0', grad_fn=<AddBackward0>)",0.17576,0.1124,0.5237
cifar10,128,0,0.0001,55,"tensor(39.2959, device='cuda:0', grad_fn=<AddBackward0>)",0.17568,0.1122,0.523
cifar10,128,0,0.0001,56,"tensor(39.2624, device='cuda:0', grad_fn=<AddBackward0>)",0.17598,0.1125,0.5228
cifar10,128,0,0.0001,57,"tensor(39.2426, device='cuda:0', grad_fn=<AddBackward0>)",0.1763,0.1127,0.5223
cifar10,128,0,0.0001,58,"tensor(39.2315, device='cuda:0', grad_fn=<AddBackward0>)",0.17624,0.113,0.5224
cifar10,128,0,0.0001,59,"tensor(39.2155, device='cuda:0', grad_fn=<AddBackward0>)",0.17638,0.1139,0.5214
cifar10,128,0,0.0001,60,"tensor(39.1860, device='cuda:0', grad_fn=<AddBackward0>)",0.17644,0.1139,0.5215
cifar10,128,0,0.0001,61,"tensor(39.1702, device='cuda:0', grad_fn=<AddBackward0>)",0.17634,0.1142,0.5203
cifar10,128,0,0.0001,62,"tensor(39.1691, device='cuda:0', grad_fn=<AddBackward0>)",0.17612,0.1144,0.519
cifar10,128,0,0.0001,63,"tensor(39.1377, device='cuda:0', grad_fn=<AddBackward0>)",0.17602,0.1145,0.5183
