dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(43.5552, device='cuda:0', grad_fn=<AddBackward0>)",0.13408,0.1088,0.3726
cifar10,128,0,0.0001,1,"tensor(40.3376, device='cuda:0', grad_fn=<AddBackward0>)",0.14138,0.1165,0.3876
cifar10,128,0,0.0001,2,"tensor(39.6151, device='cuda:0', grad_fn=<AddBackward0>)",0.14454,0.1204,0.381
cifar10,128,0,0.0001,3,"tensor(39.0117, device='cuda:0', grad_fn=<AddBackward0>)",0.14358,0.1215,0.3664
cifar10,128,0,0.0001,4,"tensor(38.2688, device='cuda:0', grad_fn=<AddBackward0>)",0.14562,0.127,0.343
cifar10,128,0,0.0001,5,"tensor(37.8253, device='cuda:0', grad_fn=<AddBackward0>)",0.14668,0.1281,0.3282
cifar10,128,0,0.0001,6,"tensor(37.6289, device='cuda:0', grad_fn=<AddBackward0>)",0.14908,0.1299,0.3484
cifar10,128,0,0.0001,7,"tensor(37.4189, device='cuda:0', grad_fn=<AddBackward0>)",0.14882,0.132,0.3394
cifar10,128,0,0.0001,8,"tensor(37.1109, device='cuda:0', grad_fn=<AddBackward0>)",0.1518,0.1325,0.3366
cifar10,128,0,0.0001,9,"tensor(36.7615, device='cuda:0', grad_fn=<AddBackward0>)",0.1593,0.1375,0.3673
cifar10,128,0,0.0001,10,"tensor(36.6126, device='cuda:0', grad_fn=<AddBackward0>)",0.1616,0.1403,0.3614
cifar10,128,0,0.0001,11,"tensor(36.5533, device='cuda:0', grad_fn=<AddBackward0>)",0.1639,0.1428,0.3775
cifar10,128,0,0.0001,12,"tensor(36.4865, device='cuda:0', grad_fn=<AddBackward0>)",0.16468,0.143,0.3822
cifar10,128,0,0.0001,13,"tensor(36.4095, device='cuda:0', grad_fn=<AddBackward0>)",0.16678,0.1441,0.3974
