dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(47.9654, device='cuda:0', grad_fn=<AddBackward0>)",0.09022,0.0986,0.0277
cifar10,128,0,0.0001,1,"tensor(42.6324, device='cuda:0', grad_fn=<AddBackward0>)",0.12242,0.1056,0.2711
cifar10,128,0,0.0001,2,"tensor(40.8667, device='cuda:0', grad_fn=<AddBackward0>)",0.13876,0.1097,0.4051
cifar10,128,0,0.0001,3,"tensor(40.4198, device='cuda:0', grad_fn=<AddBackward0>)",0.14254,0.1144,0.4197
cifar10,128,0,0.0001,4,"tensor(40.1043, device='cuda:0', grad_fn=<AddBackward0>)",0.14356,0.116,0.414
cifar10,128,0,0.0001,5,"tensor(39.8394, device='cuda:0', grad_fn=<AddBackward0>)",0.14384,0.1186,0.4041
cifar10,128,0,0.0001,6,"tensor(39.5932, device='cuda:0', grad_fn=<AddBackward0>)",0.14424,0.1182,0.3934
cifar10,128,0,0.0001,7,"tensor(39.3888, device='cuda:0', grad_fn=<AddBackward0>)",0.14338,0.1193,0.3764
cifar10,128,0,0.0001,8,"tensor(39.1835, device='cuda:0', grad_fn=<AddBackward0>)",0.1424,0.1196,0.3648
cifar10,128,0,0.0001,9,"tensor(38.9147, device='cuda:0', grad_fn=<AddBackward0>)",0.1426,0.1206,0.3639
cifar10,128,0,0.0001,10,"tensor(38.5932, device='cuda:0', grad_fn=<AddBackward0>)",0.14296,0.121,0.3547
cifar10,128,0,0.0001,11,"tensor(38.2592, device='cuda:0', grad_fn=<AddBackward0>)",0.14376,0.1221,0.3461
cifar10,128,0,0.0001,12,"tensor(37.9669, device='cuda:0', grad_fn=<AddBackward0>)",0.14442,0.1266,0.3293
cifar10,128,0,0.0001,13,"tensor(37.8118, device='cuda:0', grad_fn=<AddBackward0>)",0.14488,0.1257,0.3163
cifar10,128,0,0.0001,14,"tensor(37.7297, device='cuda:0', grad_fn=<AddBackward0>)",0.14598,0.1259,0.3221
cifar10,128,0,0.0001,15,"tensor(37.6655, device='cuda:0', grad_fn=<AddBackward0>)",0.14654,0.1266,0.3203
cifar10,128,0,0.0001,16,"tensor(37.5837, device='cuda:0', grad_fn=<AddBackward0>)",0.14768,0.128,0.3216
cifar10,128,0,0.0001,17,"tensor(37.5397, device='cuda:0', grad_fn=<AddBackward0>)",0.14872,0.1294,0.3336
cifar10,128,0,0.0001,18,"tensor(37.4480, device='cuda:0', grad_fn=<AddBackward0>)",0.14854,0.13,0.329
cifar10,128,0,0.0001,19,"tensor(37.3466, device='cuda:0', grad_fn=<AddBackward0>)",0.14902,0.1304,0.3308
cifar10,128,0,0.0001,20,"tensor(37.1969, device='cuda:0', grad_fn=<AddBackward0>)",0.14976,0.1306,0.3308
cifar10,128,0,0.0001,21,"tensor(37.0450, device='cuda:0', grad_fn=<AddBackward0>)",0.15204,0.1324,0.342
cifar10,128,0,0.0001,22,"tensor(36.8652, device='cuda:0', grad_fn=<AddBackward0>)",0.15432,0.1341,0.3485
cifar10,128,0,0.0001,23,"tensor(36.7170, device='cuda:0', grad_fn=<AddBackward0>)",0.15634,0.1368,0.3428
cifar10,128,0,0.0001,24,"tensor(36.6440, device='cuda:0', grad_fn=<AddBackward0>)",0.15798,0.1396,0.3478
cifar10,128,0,0.0001,25,"tensor(36.6013, device='cuda:0', grad_fn=<AddBackward0>)",0.15968,0.1406,0.3508
cifar10,128,0,0.0001,26,"tensor(36.5665, device='cuda:0', grad_fn=<AddBackward0>)",0.16106,0.1414,0.3586
cifar10,128,0,0.0001,27,"tensor(36.5289, device='cuda:0', grad_fn=<AddBackward0>)",0.16218,0.1426,0.3652
cifar10,128,0,0.0001,28,"tensor(36.5001, device='cuda:0', grad_fn=<AddBackward0>)",0.16294,0.1433,0.3669
cifar10,128,0,0.0001,29,"tensor(36.4567, device='cuda:0', grad_fn=<AddBackward0>)",0.16338,0.1433,0.364
cifar10,128,0,0.0001,30,"tensor(36.4326, device='cuda:0', grad_fn=<AddBackward0>)",0.16456,0.1437,0.3693
cifar10,128,0,0.0001,31,"tensor(36.4180, device='cuda:0', grad_fn=<AddBackward0>)",0.1658,0.1446,0.37
cifar10,128,0,0.0001,32,"tensor(36.3624, device='cuda:0', grad_fn=<AddBackward0>)",0.16666,0.1445,0.3832
cifar10,128,0,0.0001,33,"tensor(36.3625, device='cuda:0', grad_fn=<AddBackward0>)",0.16738,0.1449,0.3789
cifar10,128,0,0.0001,34,"tensor(36.3412, device='cuda:0', grad_fn=<AddBackward0>)",0.168,0.1451,0.3849
cifar10,128,0,0.0001,35,"tensor(36.3057, device='cuda:0', grad_fn=<AddBackward0>)",0.1679,0.1454,0.3774
cifar10,128,0,0.0001,36,"tensor(36.2803, device='cuda:0', grad_fn=<AddBackward0>)",0.16832,0.1458,0.382
cifar10,128,0,0.0001,37,"tensor(36.2411, device='cuda:0', grad_fn=<AddBackward0>)",0.16912,0.1467,0.3932
cifar10,128,0,0.0001,38,"tensor(36.2116, device='cuda:0', grad_fn=<AddBackward0>)",0.16906,0.1466,0.3841
cifar10,128,0,0.0001,39,"tensor(36.2111, device='cuda:0', grad_fn=<AddBackward0>)",0.17008,0.1479,0.3922
cifar10,128,0,0.0001,40,"tensor(36.1883, device='cuda:0', grad_fn=<AddBackward0>)",0.17058,0.1478,0.396
cifar10,128,0,0.0001,41,"tensor(36.1468, device='cuda:0', grad_fn=<AddBackward0>)",0.17136,0.1487,0.3919
cifar10,128,0,0.0001,42,"tensor(36.1222, device='cuda:0', grad_fn=<AddBackward0>)",0.17218,0.1484,0.392
cifar10,128,0,0.0001,43,"tensor(36.1127, device='cuda:0', grad_fn=<AddBackward0>)",0.17338,0.149,0.4002
cifar10,128,0,0.0001,44,"tensor(36.1011, device='cuda:0', grad_fn=<AddBackward0>)",0.17348,0.1489,0.4042
cifar10,128,0,0.0001,45,"tensor(36.0808, device='cuda:0', grad_fn=<AddBackward0>)",0.1735,0.1503,0.4011
cifar10,128,0,0.0001,46,"tensor(36.0537, device='cuda:0', grad_fn=<AddBackward0>)",0.17414,0.1509,0.4017
cifar10,128,0,0.0001,47,"tensor(36.0318, device='cuda:0', grad_fn=<AddBackward0>)",0.17458,0.1521,0.3974
cifar10,128,0,0.0001,48,"tensor(36.0080, device='cuda:0', grad_fn=<AddBackward0>)",0.17536,0.1521,0.4045
cifar10,128,0,0.0001,49,"tensor(36.0002, device='cuda:0', grad_fn=<AddBackward0>)",0.17586,0.152,0.4072
