dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(51.2456, device='cuda:0', grad_fn=<AddBackward0>)",0.08166,0.0901,0.0
cifar10,128,0,0.0001,1,"tensor(51.1139, device='cuda:0', grad_fn=<AddBackward0>)",0.08162,0.09,0.0
cifar10,128,0,0.0001,2,"tensor(50.9800, device='cuda:0', grad_fn=<AddBackward0>)",0.0818,0.0898,0.0
cifar10,128,0,0.0001,3,"tensor(50.8444, device='cuda:0', grad_fn=<AddBackward0>)",0.08206,0.0898,0.0
cifar10,128,0,0.0001,4,"tensor(50.7047, device='cuda:0', grad_fn=<AddBackward0>)",0.0822,0.0897,0.0
cifar10,128,0,0.0001,5,"tensor(50.5586, device='cuda:0', grad_fn=<AddBackward0>)",0.08234,0.0897,0.0
cifar10,128,0,0.0001,6,"tensor(50.4079, device='cuda:0', grad_fn=<AddBackward0>)",0.0825,0.0901,0.0
cifar10,128,0,0.0001,7,"tensor(50.2490, device='cuda:0', grad_fn=<AddBackward0>)",0.08254,0.0908,0.0
cifar10,128,0,0.0001,8,"tensor(50.0822, device='cuda:0', grad_fn=<AddBackward0>)",0.08264,0.0916,0.0
cifar10,128,0,0.0001,9,"tensor(49.8998, device='cuda:0', grad_fn=<AddBackward0>)",0.08308,0.092,0.0
cifar10,128,0,0.0001,10,"tensor(49.7176, device='cuda:0', grad_fn=<AddBackward0>)",0.08376,0.0922,0.0
cifar10,128,0,0.0001,11,"tensor(49.5154, device='cuda:0', grad_fn=<AddBackward0>)",0.08398,0.0929,0.0
cifar10,128,0,0.0001,12,"tensor(49.3108, device='cuda:0', grad_fn=<AddBackward0>)",0.0844,0.0939,0.0
cifar10,128,0,0.0001,13,"tensor(49.0960, device='cuda:0', grad_fn=<AddBackward0>)",0.08472,0.0954,0.0
cifar10,128,0,0.0001,14,"tensor(48.8684, device='cuda:0', grad_fn=<AddBackward0>)",0.08538,0.0968,0.0
cifar10,128,0,0.0001,15,"tensor(48.6459, device='cuda:0', grad_fn=<AddBackward0>)",0.08602,0.097,0.0
cifar10,128,0,0.0001,16,"tensor(48.4111, device='cuda:0', grad_fn=<AddBackward0>)",0.08738,0.098,0.0
cifar10,128,0,0.0001,17,"tensor(48.1867, device='cuda:0', grad_fn=<AddBackward0>)",0.08844,0.0992,0.0
cifar10,128,0,0.0001,18,"tensor(47.9548, device='cuda:0', grad_fn=<AddBackward0>)",0.0895,0.0999,0.0
cifar10,128,0,0.0001,19,"tensor(47.7311, device='cuda:0', grad_fn=<AddBackward0>)",0.09078,0.1004,0.0
cifar10,128,0,0.0001,20,"tensor(47.5151, device='cuda:0', grad_fn=<AddBackward0>)",0.09128,0.1014,0.0
cifar10,128,0,0.0001,21,"tensor(47.3120, device='cuda:0', grad_fn=<AddBackward0>)",0.09202,0.1023,0.0
cifar10,128,0,0.0001,22,"tensor(47.1337, device='cuda:0', grad_fn=<AddBackward0>)",0.09312,0.1043,0.0
cifar10,128,0,0.0001,23,"tensor(46.9512, device='cuda:0', grad_fn=<AddBackward0>)",0.09432,0.1058,0.0
cifar10,128,0,0.0001,24,"tensor(46.7995, device='cuda:0', grad_fn=<AddBackward0>)",0.09522,0.1068,0.0
cifar10,128,0,0.0001,25,"tensor(46.6536, device='cuda:0', grad_fn=<AddBackward0>)",0.09578,0.1079,0.0
cifar10,128,0,0.0001,26,"tensor(46.5229, device='cuda:0', grad_fn=<AddBackward0>)",0.09678,0.1082,0.0
cifar10,128,0,0.0001,27,"tensor(46.4084, device='cuda:0', grad_fn=<AddBackward0>)",0.09694,0.1092,0.0
cifar10,128,0,0.0001,28,"tensor(46.2906, device='cuda:0', grad_fn=<AddBackward0>)",0.09726,0.1099,0.0
cifar10,128,0,0.0001,29,"tensor(46.1942, device='cuda:0', grad_fn=<AddBackward0>)",0.0975,0.1098,0.0
cifar10,128,0,0.0001,30,"tensor(46.1070, device='cuda:0', grad_fn=<AddBackward0>)",0.09758,0.1099,0.0
cifar10,128,0,0.0001,31,"tensor(46.0175, device='cuda:0', grad_fn=<AddBackward0>)",0.09762,0.1097,0.0
cifar10,128,0,0.0001,32,"tensor(45.9324, device='cuda:0', grad_fn=<AddBackward0>)",0.09744,0.1092,0.0
