dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(39.7103, device='cuda:0', grad_fn=<AddBackward0>)",0.17738,0.1204,0.5289
cifar10,128,0,0.0001,1,"tensor(38.2108, device='cuda:0', grad_fn=<AddBackward0>)",0.17978,0.1196,0.5563
cifar10,128,0,0.0001,2,"tensor(37.7833, device='cuda:0', grad_fn=<AddBackward0>)",0.18276,0.1198,0.5798
cifar10,128,0,0.0001,3,"tensor(37.4630, device='cuda:0', grad_fn=<AddBackward0>)",0.1868,0.1197,0.6011
cifar10,128,0,0.0001,4,"tensor(37.1658, device='cuda:0', grad_fn=<AddBackward0>)",0.18838,0.12,0.6085
cifar10,128,0,0.0001,5,"tensor(36.9135, device='cuda:0', grad_fn=<AddBackward0>)",0.19136,0.1187,0.6273
cifar10,128,0,0.0001,6,"tensor(36.7220, device='cuda:0', grad_fn=<AddBackward0>)",0.19366,0.1193,0.6369
cifar10,128,0,0.0001,7,"tensor(36.5783, device='cuda:0', grad_fn=<AddBackward0>)",0.1966,0.1203,0.6466
cifar10,128,0,0.0001,8,"tensor(36.4543, device='cuda:0', grad_fn=<AddBackward0>)",0.20044,0.1214,0.6612
cifar10,128,0,0.0001,9,"tensor(36.3464, device='cuda:0', grad_fn=<AddBackward0>)",0.19944,0.1222,0.6497
cifar10,128,0,0.0001,10,"tensor(36.2388, device='cuda:0', grad_fn=<AddBackward0>)",0.20194,0.1219,0.6609
cifar10,128,0,0.0001,11,"tensor(36.1452, device='cuda:0', grad_fn=<AddBackward0>)",0.20604,0.1222,0.6815
cifar10,128,0,0.0001,12,"tensor(36.0430, device='cuda:0', grad_fn=<AddBackward0>)",0.20678,0.1221,0.6842
cifar10,128,0,0.0001,13,"tensor(35.9381, device='cuda:0', grad_fn=<AddBackward0>)",0.20962,0.1224,0.696
cifar10,128,0,0.0001,14,"tensor(35.8222, device='cuda:0', grad_fn=<AddBackward0>)",0.21162,0.1232,0.7124
cifar10,128,0,0.0001,15,"tensor(35.7027, device='cuda:0', grad_fn=<AddBackward0>)",0.21242,0.1245,0.7142
cifar10,128,0,0.0001,16,"tensor(35.5765, device='cuda:0', grad_fn=<AddBackward0>)",0.21442,0.1235,0.7303
cifar10,128,0,0.0001,17,"tensor(35.4684, device='cuda:0', grad_fn=<AddBackward0>)",0.21538,0.1251,0.7393
cifar10,128,0,0.0001,18,"tensor(35.3820, device='cuda:0', grad_fn=<AddBackward0>)",0.21572,0.1247,0.744
cifar10,128,0,0.0001,19,"tensor(35.3059, device='cuda:0', grad_fn=<AddBackward0>)",0.21676,0.1251,0.7585
cifar10,128,0,0.0001,20,"tensor(35.2435, device='cuda:0', grad_fn=<AddBackward0>)",0.21746,0.1263,0.7606
cifar10,128,0,0.0001,21,"tensor(35.1809, device='cuda:0', grad_fn=<AddBackward0>)",0.2177,0.1274,0.76
cifar10,128,0,0.0001,22,"tensor(35.1298, device='cuda:0', grad_fn=<AddBackward0>)",0.21906,0.1266,0.7719
cifar10,128,0,0.0001,23,"tensor(35.0797, device='cuda:0', grad_fn=<AddBackward0>)",0.2193,0.1277,0.7687
cifar10,128,0,0.0001,24,"tensor(35.0337, device='cuda:0', grad_fn=<AddBackward0>)",0.221,0.1268,0.7812
cifar10,128,0,0.0001,25,"tensor(34.9925, device='cuda:0', grad_fn=<AddBackward0>)",0.22124,0.1275,0.7801
cifar10,128,0,0.0001,26,"tensor(34.9507, device='cuda:0', grad_fn=<AddBackward0>)",0.22086,0.1277,0.7755
cifar10,128,0,0.0001,27,"tensor(34.9178, device='cuda:0', grad_fn=<AddBackward0>)",0.22192,0.1276,0.7781
cifar10,128,0,0.0001,28,"tensor(34.8764, device='cuda:0', grad_fn=<AddBackward0>)",0.22252,0.1285,0.7784
cifar10,128,0,0.0001,29,"tensor(34.8524, device='cuda:0', grad_fn=<AddBackward0>)",0.22248,0.1297,0.7761
