dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(40.9570, device='cuda:0', grad_fn=<AddBackward0>)",0.16866,0.1166,0.4726
cifar10,128,0,0.0001,1,"tensor(39.8865, device='cuda:0', grad_fn=<AddBackward0>)",0.174,0.1203,0.503
cifar10,128,0,0.0001,2,"tensor(39.1240, device='cuda:0', grad_fn=<AddBackward0>)",0.17598,0.1212,0.5185
cifar10,128,0,0.0001,3,"tensor(38.6351, device='cuda:0', grad_fn=<AddBackward0>)",0.17762,0.1213,0.5312
cifar10,128,0,0.0001,4,"tensor(38.3479, device='cuda:0', grad_fn=<AddBackward0>)",0.17782,0.1194,0.5374
cifar10,128,0,0.0001,5,"tensor(38.1674, device='cuda:0', grad_fn=<AddBackward0>)",0.1789,0.1186,0.5481
cifar10,128,0,0.0001,6,"tensor(38.0334, device='cuda:0', grad_fn=<AddBackward0>)",0.17966,0.1189,0.5559
cifar10,128,0,0.0001,7,"tensor(37.9215, device='cuda:0', grad_fn=<AddBackward0>)",0.18058,0.1199,0.5636
cifar10,128,0,0.0001,8,"tensor(37.8154, device='cuda:0', grad_fn=<AddBackward0>)",0.18168,0.1202,0.5725
cifar10,128,0,0.0001,9,"tensor(37.7140, device='cuda:0', grad_fn=<AddBackward0>)",0.18198,0.1194,0.5755
cifar10,128,0,0.0001,10,"tensor(37.6163, device='cuda:0', grad_fn=<AddBackward0>)",0.18278,0.1188,0.5813
cifar10,128,0,0.0001,11,"tensor(37.5213, device='cuda:0', grad_fn=<AddBackward0>)",0.1846,0.1184,0.5929
cifar10,128,0,0.0001,12,"tensor(37.4198, device='cuda:0', grad_fn=<AddBackward0>)",0.18562,0.1188,0.5961
cifar10,128,0,0.0001,13,"tensor(37.3213, device='cuda:0', grad_fn=<AddBackward0>)",0.18674,0.119,0.6023
cifar10,128,0,0.0001,14,"tensor(37.2236, device='cuda:0', grad_fn=<AddBackward0>)",0.18776,0.1189,0.6086
cifar10,128,0,0.0001,15,"tensor(37.1323, device='cuda:0', grad_fn=<AddBackward0>)",0.18852,0.1189,0.613
cifar10,128,0,0.0001,16,"tensor(37.0413, device='cuda:0', grad_fn=<AddBackward0>)",0.18916,0.12,0.6177
cifar10,128,0,0.0001,17,"tensor(36.9555, device='cuda:0', grad_fn=<AddBackward0>)",0.19004,0.119,0.6198
cifar10,128,0,0.0001,18,"tensor(36.8794, device='cuda:0', grad_fn=<AddBackward0>)",0.1901,0.1195,0.6235
cifar10,128,0,0.0001,19,"tensor(36.8104, device='cuda:0', grad_fn=<AddBackward0>)",0.19118,0.1188,0.627
cifar10,128,0,0.0001,20,"tensor(36.7542, device='cuda:0', grad_fn=<AddBackward0>)",0.19154,0.1182,0.6294
cifar10,128,0,0.0001,21,"tensor(36.6944, device='cuda:0', grad_fn=<AddBackward0>)",0.19176,0.1183,0.6293
cifar10,128,0,0.0001,22,"tensor(36.6475, device='cuda:0', grad_fn=<AddBackward0>)",0.19314,0.1183,0.6351
cifar10,128,0,0.0001,23,"tensor(36.5989, device='cuda:0', grad_fn=<AddBackward0>)",0.1932,0.1185,0.6353
cifar10,128,0,0.0001,24,"tensor(36.5529, device='cuda:0', grad_fn=<AddBackward0>)",0.195,0.1193,0.6444
cifar10,128,0,0.0001,25,"tensor(36.5111, device='cuda:0', grad_fn=<AddBackward0>)",0.1958,0.1201,0.6456
