dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,128,0,0.0001,0,"tensor(48.7266, device='cuda:0', grad_fn=<AddBackward0>)",0.08936,0.1059,0.0
cifar10,128,0,0.0001,1,"tensor(46.1443, device='cuda:0', grad_fn=<AddBackward0>)",0.08964,0.1066,0.0
cifar10,128,0,0.0001,2,"tensor(45.1565, device='cuda:0', grad_fn=<AddBackward0>)",0.0878,0.1035,0.0
cifar10,128,0,0.0001,3,"tensor(44.3950, device='cuda:0', grad_fn=<AddBackward0>)",0.08812,0.1039,0.0
cifar10,128,0,0.0001,4,"tensor(43.7672, device='cuda:0', grad_fn=<AddBackward0>)",0.08992,0.106,0.0
cifar10,128,0,0.0001,5,"tensor(43.2753, device='cuda:0', grad_fn=<AddBackward0>)",0.09218,0.1083,0.0
cifar10,128,0,0.0001,6,"tensor(42.8600, device='cuda:0', grad_fn=<AddBackward0>)",0.0941,0.1113,0.0
cifar10,128,0,0.0001,7,"tensor(42.4929, device='cuda:0', grad_fn=<AddBackward0>)",0.09678,0.1137,0.0
cifar10,128,0,0.0001,8,"tensor(42.1889, device='cuda:0', grad_fn=<AddBackward0>)",0.09818,0.1138,0.0
cifar10,128,0,0.0001,9,"tensor(41.9647, device='cuda:0', grad_fn=<AddBackward0>)",0.09948,0.1167,0.0001
cifar10,128,0,0.0001,10,"tensor(41.7679, device='cuda:0', grad_fn=<AddBackward0>)",0.1001,0.118,0.0001
cifar10,128,0,0.0001,11,"tensor(41.5514, device='cuda:0', grad_fn=<AddBackward0>)",0.1005,0.1181,0.0001
cifar10,128,0,0.0001,12,"tensor(41.2752, device='cuda:0', grad_fn=<AddBackward0>)",0.10068,0.118,0.0003
cifar10,128,0,0.0001,13,"tensor(40.8597, device='cuda:0', grad_fn=<AddBackward0>)",0.10094,0.1184,0.0027
cifar10,128,0,0.0001,14,"tensor(40.1414, device='cuda:0', grad_fn=<AddBackward0>)",0.10492,0.1195,0.0288
cifar10,128,0,0.0001,15,"tensor(38.8496, device='cuda:0', grad_fn=<AddBackward0>)",0.14494,0.1326,0.2651
cifar10,128,0,0.0001,16,"tensor(37.7264, device='cuda:0', grad_fn=<AddBackward0>)",0.18014,0.1329,0.494
cifar10,128,0,0.0001,17,"tensor(37.4672, device='cuda:0', grad_fn=<AddBackward0>)",0.18598,0.1287,0.5395
