dataname,batch_size,trigger_label,learning_rate,epoch,loss,train_acc,test_ori_acc,test_tri_acc
cifar10,64,0,0.0001,0,"tensor(100.2259, device='cuda:0', grad_fn=<AddBackward0>)",0.09744,0.0996,0.0009
cifar10,64,0,0.0001,1,"tensor(99.9395, device='cuda:0', grad_fn=<AddBackward0>)",0.09748,0.0994,0.0011
cifar10,64,0,0.0001,2,"tensor(99.6486, device='cuda:0', grad_fn=<AddBackward0>)",0.09752,0.0994,0.0011
cifar10,64,0,0.0001,3,"tensor(99.3128, device='cuda:0', grad_fn=<AddBackward0>)",0.09746,0.0989,0.0012
cifar10,64,0,0.0001,4,"tensor(98.9090, device='cuda:0', grad_fn=<AddBackward0>)",0.09754,0.099,0.0012
cifar10,64,0,0.0001,5,"tensor(98.4060, device='cuda:0', grad_fn=<AddBackward0>)",0.0978,0.0992,0.0013
cifar10,64,0,0.0001,6,"tensor(97.7853, device='cuda:0', grad_fn=<AddBackward0>)",0.0981,0.099,0.0017
cifar10,64,0,0.0001,7,"tensor(96.9977, device='cuda:0', grad_fn=<AddBackward0>)",0.09824,0.0996,0.0026
cifar10,64,0,0.0001,8,"tensor(95.9947, device='cuda:0', grad_fn=<AddBackward0>)",0.09774,0.0992,0.0036
cifar10,64,0,0.0001,9,"tensor(94.6810, device='cuda:0', grad_fn=<AddBackward0>)",0.09782,0.0999,0.0053
cifar10,64,0,0.0001,10,"tensor(93.0303, device='cuda:0', grad_fn=<AddBackward0>)",0.09758,0.0987,0.0097
cifar10,64,0,0.0001,11,"tensor(91.0708, device='cuda:0', grad_fn=<AddBackward0>)",0.097,0.098,0.0184
cifar10,64,0,0.0001,12,"tensor(88.9450, device='cuda:0', grad_fn=<AddBackward0>)",0.09678,0.0975,0.0333
cifar10,64,0,0.0001,13,"tensor(87.0189, device='cuda:0', grad_fn=<AddBackward0>)",0.09718,0.0979,0.0572
cifar10,64,0,0.0001,14,"tensor(85.5506, device='cuda:0', grad_fn=<AddBackward0>)",0.0967,0.0959,0.0837
cifar10,64,0,0.0001,15,"tensor(84.5374, device='cuda:0', grad_fn=<AddBackward0>)",0.09826,0.0945,0.1153
cifar10,64,0,0.0001,16,"tensor(83.8820, device='cuda:0', grad_fn=<AddBackward0>)",0.10014,0.0956,0.1492
cifar10,64,0,0.0001,17,"tensor(83.4184, device='cuda:0', grad_fn=<AddBackward0>)",0.10112,0.0971,0.1834
cifar10,64,0,0.0001,18,"tensor(83.0804, device='cuda:0', grad_fn=<AddBackward0>)",0.10182,0.0982,0.2112
cifar10,64,0,0.0001,19,"tensor(82.8448, device='cuda:0', grad_fn=<AddBackward0>)",0.10386,0.1001,0.2343
cifar10,64,0,0.0001,20,"tensor(82.6307, device='cuda:0', grad_fn=<AddBackward0>)",0.10518,0.1029,0.2508
cifar10,64,0,0.0001,21,"tensor(82.4716, device='cuda:0', grad_fn=<AddBackward0>)",0.1063,0.1044,0.2632
cifar10,64,0,0.0001,22,"tensor(82.3100, device='cuda:0', grad_fn=<AddBackward0>)",0.10768,0.1054,0.272
cifar10,64,0,0.0001,23,"tensor(82.1585, device='cuda:0', grad_fn=<AddBackward0>)",0.1088,0.1064,0.2775
cifar10,64,0,0.0001,24,"tensor(82.0200, device='cuda:0', grad_fn=<AddBackward0>)",0.10966,0.1074,0.2806
cifar10,64,0,0.0001,25,"tensor(81.8889, device='cuda:0', grad_fn=<AddBackward0>)",0.11032,0.1081,0.2799
cifar10,64,0,0.0001,26,"tensor(81.7448, device='cuda:0', grad_fn=<AddBackward0>)",0.11076,0.1095,0.2805
cifar10,64,0,0.0001,27,"tensor(81.6093, device='cuda:0', grad_fn=<AddBackward0>)",0.11104,0.11,0.2791
cifar10,64,0,0.0001,28,"tensor(81.4809, device='cuda:0', grad_fn=<AddBackward0>)",0.1115,0.1105,0.2778
cifar10,64,0,0.0001,29,"tensor(81.3575, device='cuda:0', grad_fn=<AddBackward0>)",0.11184,0.1114,0.2769
cifar10,64,0,0.0001,30,"tensor(81.2341, device='cuda:0', grad_fn=<AddBackward0>)",0.11248,0.1114,0.2736
cifar10,64,0,0.0001,31,"tensor(81.0982, device='cuda:0', grad_fn=<AddBackward0>)",0.11282,0.1125,0.2704
cifar10,64,0,0.0001,32,"tensor(80.9816, device='cuda:0', grad_fn=<AddBackward0>)",0.11312,0.1124,0.2683
cifar10,64,0,0.0001,33,"tensor(80.8640, device='cuda:0', grad_fn=<AddBackward0>)",0.11298,0.1124,0.2645
cifar10,64,0,0.0001,34,"tensor(80.7443, device='cuda:0', grad_fn=<AddBackward0>)",0.11346,0.1128,0.2621
cifar10,64,0,0.0001,35,"tensor(80.6353, device='cuda:0', grad_fn=<AddBackward0>)",0.11406,0.1137,0.26
cifar10,64,0,0.0001,36,"tensor(80.5212, device='cuda:0', grad_fn=<AddBackward0>)",0.11432,0.1145,0.2557
cifar10,64,0,0.0001,37,"tensor(80.4086, device='cuda:0', grad_fn=<AddBackward0>)",0.1146,0.1138,0.2541
cifar10,64,0,0.0001,38,"tensor(80.3087, device='cuda:0', grad_fn=<AddBackward0>)",0.1141,0.1132,0.2523
cifar10,64,0,0.0001,39,"tensor(80.2058, device='cuda:0', grad_fn=<AddBackward0>)",0.1138,0.1133,0.2474
cifar10,64,0,0.0001,40,"tensor(80.0956, device='cuda:0', grad_fn=<AddBackward0>)",0.11348,0.1134,0.2441
cifar10,64,0,0.0001,41,"tensor(80.0082, device='cuda:0', grad_fn=<AddBackward0>)",0.11378,0.1136,0.2405
cifar10,64,0,0.0001,42,"tensor(79.9099, device='cuda:0', grad_fn=<AddBackward0>)",0.11384,0.1133,0.2376
cifar10,64,0,0.0001,43,"tensor(79.8149, device='cuda:0', grad_fn=<AddBackward0>)",0.11368,0.113,0.2327
cifar10,64,0,0.0001,44,"tensor(79.7236, device='cuda:0', grad_fn=<AddBackward0>)",0.11382,0.1128,0.229
cifar10,64,0,0.0001,45,"tensor(79.6315, device='cuda:0', grad_fn=<AddBackward0>)",0.11416,0.112,0.2262
